822	chung-ching-oh-sore-us	Chongqing lizard	Dong, Zhou and Zhang	1983
271	kwee-siet-oh-sore-us	extraordinary lizard	Kurzanov and Bannikov	1983
890	shah-maw-sore-us	desert lizard	Tumanova	1983
232	SHOON-oh-SORE-us	Shuno lizard	Dong, Zhou and Zhang	1983
676	stij-i-mol-ok	Styx demon	Galton and Sues	1983
148	dah-too-SORE-us	Datou lizard	Dong and Tang	1984
979	har-pi-miem-us	harpy mimic	Barsbold and Perle	1984
176	ah-BEEL-ee-sore-us	Abel's lizard	Bonaparte and Novas	1985
861	Kar-noh-TORE-us	carnivorous bull	Bonaparte	1985
226	gas-oh-SORE-us	gas lizard	Dong and Tang	1985
699	sue-per-sore-us	super lizard	Jansen	1985
742	ay-va-ker-ah-tops	Ava's horned face	Dodson	1986
773	kon-koh-rap-tor	conch thief	Barsbold	1986
942	la-pah-rent-oh-sore-us	Lapparent's lizard	Bonaparte	1986
170	rin-chen-ee-ah	Rinchen	Barsbold	1986
513	ahr-ah-go-sore-us	Aragón lizard	Sanz, Buscalioni, Casanovas and Sanafé	1987
586	ahr-kee-oh-serra-tops	ancient horned face	Dong and Azuma	1987
852	bah-ree-ON-icks	heavy claw	Charig and Milner	1987
650	bor-o-goh-vee-a	borogove	Osmólska	1987
128	ANN-ser-ih-mee-muss	goose mimic	Barsbold	1988
536	beck-el-spien-aks	Beckles' "spinax"	Paul	1988
138	koht-a-sore-us	Kota lizard	Yadagiri	1988
914	or-oh-DROM-ee-us	mountain runner	Horner and Weishampel	1988
628	Atlass-KOP-KO-sore-us	Atlas Copco lizard	Rich and Rich	1989
270	LEE-ELL-IN-a-SORE-a	Leaellyn's lizard	Rich and Rich	1989
236	aj-i-li-sore-us	agile lizard	Peng	1990
272	bel-uh-sore-us	fine lizard	Dong and Azuma	1990
618	yee-muhn-oh-sore-us	Yimen lizard	Bai, Yang and Wang	1990
105	al-var-rez-SORE-us	Alvarez's lizard	Bonaparte	1991
728	A-MARG-oh-sore-us	Amarga lizard	Salgado and Bonaparte	1991
227	em-ow-sore-us	EMAU (Ernst-Moritz-Arndt-Universität) lizard	Haubold	1991
815	yan-ensh-ee-ah	named after Janansch	Wild	1991
639	SIZE-moh-SORE-us	earth-shaking lizard	Gillette	1991
911	sien-rap-tor	Chinese plunderer	Gao	1992
778	oo-dahn-oh-serra-tops	Udan [Sayr] horned face	Kurzanov	1992
780	ying-shan-oh-sore-us	Mt. Ying lizard	Watanabe	1992
927	AR-gent-eeno-sore-us	Argentina lizard	Bonaparte and Coria	1993
658	EE-oh-RAP-tor	early plunderer	Sereno, Forster, Rogers and Monetta	1993
903	lof-oh-stro-fee-us	crested verebra	Ezcurra and Cuny 2007	1993
